端点 X,端点 Y,端点 Z,起点 X,起点 Y,起点 Z
-10.0,-7.1,0.0,-7.1,-7.1,0.0
-10.0,-7.4,0.0,-7.4,-7.4,0.0
-10.0,-7.7,0.0,-7.7,-7.7,0.0
-10.0,-8.0,0.0,-8.0,-8.0,0.0
-10.0,-8.3,0.0,-8.3,-8.3,0.0
-10.0,-8.6,0.0,-8.6,-8.6,0.0
-10.0,-8.9,0.0,-8.9,-8.9,0.0
-10.0,-9.2,0.0,-9.2,-9.2,0.0
-10.0,-9.5,0.0,-9.5,-9.5,0.0
-10.0,-9.8,0.0,-9.8,-9.8,0.0
-9.7,-10.0,0.0,-9.7,-9.7,0.0
-9.4,-10.0,0.0,-9.4,-9.4,0.0
-9.1,-10.0,0.0,-9.1,-9.1,0.0
-8.8,-10.0,0.0,-8.8,-8.8,0.0
-8.5,-10.0,0.0,-8.5,-8.5,0.0
-8.2,-10.0,0.0,-8.2,-8.2,0.0
-7.9,-10.0,0.0,-7.9,-7.9,0.0
-7.6,-10.0,0.0,-7.6,-7.6,0.0
-7.3,-10.0,0.0,-7.3,-7.3,0.0
-7.0,-10.0,0.0,-7.0,-7.0,0.0
-6.7,-10.0,0.0,-6.7,-6.7,0.0
-6.4,-10.0,0.0,-6.4,-6.4,0.0
-6.1,-10.0,0.0,-6.1,-6.1,0.0
-5.8,-10.0,0.0,-5.8,-5.8,0.0
-5.5,-10.0,0.0,-5.5,-5.5,0.0
-5.2,-10.0,0.0,-5.2,-5.2,0.0
-4.9,-10.0,0.0,-4.9,-4.9,0.0
-4.6,-10.0,0.0,-4.6,-4.6,0.0
-4.3,-10.0,0.0,-4.3,-4.3,0.0
-4.0,-10.0,0.0,-4.0,-4.0,0.0
-3.7,-10.0,0.0,-3.7,-3.7,0.0
-3.4,-10.0,0.0,-3.4,-3.4,0.0
-3.1,-10.0,0.0,-3.1,-3.1,0.0
-2.8,-10.0,0.0,-2.8,-2.8,0.0
-2.5,-10.0,0.0,-2.5,-2.5,0.0
-2.2,-10.0,0.0,-2.2,-2.2,0.0
-1.9,-10.0,0.0,-1.9,-1.9,0.0
-1.6,-10.0,0.0,-1.6,-1.6,0.0
-1.3,-10.0,0.0,-1.3,-1.3,0.0
-1.0,-10.0,0.0,-1.0,-1.0,0.0
-0.7,-10.0,0.0,-0.7,-0.7,0.0
-0.4,-10.0,0.0,-0.4,-0.4,0.0
-0.1,-10.0,0.0,-0.1,-0.1,0.0
0.2,-10.0,0.0,0.2,-0.2,0.0
0.5,-10.0,0.0,0.5,-0.5,0.0
0.8,-10.0,0.0,0.8,-0.8,0.0
1.1,-10.0,0.0,1.1,-1.1,0.0
1.4,-10.0,0.0,1.4,-1.4,0.0
1.7,-10.0,0.0,1.7,-1.7,0.0
2.0,-10.0,0.0,2.0,-2.0,0.0
2.3,-10.0,0.0,2.3,-2.3,0.0
2.6,-10.0,0.0,2.6,-2.6,0.0
2.9,-10.0,0.0,2.9,-2.9,0.0
3.2,-10.0,0.0,3.2,-3.2,0.0
3.5,-10.0,0.0,3.5,-3.5,0.0
3.8,-10.0,0.0,3.8,-3.8,0.0
4.1,-10.0,0.0,4.1,-4.1,0.0
4.4,-10.0,0.0,4.4,-4.4,0.0
4.7,-10.0,0.0,4.7,-4.7,0.0
5.0,-10.0,0.0,5.0,-5.0,0.0
5.3,-10.0,0.0,5.3,-5.3,0.0
5.6,-10.0,0.0,5.6,-5.6,0.0
5.9,-10.0,0.0,5.9,-5.9,0.0
6.2,-10.0,0.0,6.2,-6.2,0.0
6.5,-10.0,0.0,6.5,-6.5,0.0
6.8,-10.0,0.0,6.8,-6.8,0.0
7.1,-10.0,0.0,7.1,-7.1,0.0
7.4,-10.0,0.0,7.4,-7.4,0.0
7.7,-10.0,0.0,7.7,-7.7,0.0
8.0,-10.0,0.0,8.0,-8.0,0.0
8.3,-10.0,0.0,8.3,-8.3,0.0
8.6,-10.0,0.0,8.6,-8.6,0.0
8.9,-10.0,0.0,8.9,-8.9,0.0
9.2,-10.0,0.0,9.2,-9.2,0.0
9.5,-10.0,0.0,9.5,-9.5,0.0
9.8,-10.0,0.0,9.8,-9.8,0.0
10.0,-9.7,0.0,9.7,-9.7,0.0
10.0,-9.4,0.0,9.4,-9.4,0.0
10.0,-9.1,0.0,9.1,-9.1,0.0
10.0,-8.8,0.0,8.8,-8.8,0.0
10.0,-8.5,0.0,8.5,-8.5,0.0
10.0,-8.2,0.0,8.2,-8.2,0.0
10.0,-7.9,0.0,7.9,-7.9,0.0
10.0,-7.6,0.0,7.6,-7.6,0.0
10.0,-7.3,0.0,7.3,-7.3,0.0
10.0,-7.0,0.0,7.0,-7.0,0.0
10.0,-6.7,0.0,6.7,-6.7,0.0
10.0,-6.4,0.0,6.4,-6.4,0.0
10.0,-6.1,0.0,6.1,-6.1,0.0
10.0,-5.8,0.0,5.8,-5.8,0.0
10.0,-5.5,0.0,5.5,-5.5,0.0
10.0,-5.2,0.0,5.2,-5.2,0.0
10.0,-4.9,0.0,4.9,-4.9,0.0
10.0,-4.6,0.0,4.6,-4.6,0.0
10.0,-4.3,0.0,4.3,-4.3,0.0
10.0,-4.0,0.0,4.0,-4.0,0.0
10.0,-3.7,0.0,3.7,-3.7,0.0
10.0,-3.4,0.0,3.4,-3.4,0.0
10.0,-3.1,0.0,3.1,-3.1,0.0
10.0,-2.8,0.0,2.8,-2.8,0.0
10.0,-2.5,0.0,2.5,-2.5,0.0
10.0,-2.2,0.0,2.2,-2.2,0.0
10.0,-1.9,0.0,1.9,-1.9,0.0
10.0,-1.6,0.0,1.6,-1.6,0.0
10.0,-1.3,0.0,1.3,-1.3,0.0
10.0,-1.0,0.0,1.0,-1.0,0.0
10.0,-0.7,0.0,0.7,-0.7,0.0
10.0,-0.4,0.0,0.4,-0.4,0.0
10.0,-0.1,0.0,0.1,-0.1,0.0
10.0,0.2,0.0,0.2,0.2,0.0
10.0,0.5,0.0,0.5,0.5,0.0
10.0,0.8,0.0,0.8,0.8,0.0
10.0,1.1,0.0,1.1,1.1,0.0
10.0,1.4,0.0,1.4,1.4,0.0
10.0,1.7,0.0,1.7,1.7,0.0
10.0,2.0,0.0,2.0,2.0,0.0
10.0,2.3,0.0,2.3,2.3,0.0
10.0,2.6,0.0,2.6,2.6,0.0
10.0,2.9,0.0,2.9,2.9,0.0
10.0,3.2,0.0,3.2,3.2,0.0
10.0,3.5,0.0,3.5,3.5,0.0
10.0,3.8,0.0,3.8,3.8,0.0
10.0,4.1,0.0,4.1,4.1,0.0
10.0,4.4,0.0,4.4,4.4,0.0
10.0,4.7,0.0,4.7,4.7,0.0
10.0,5.0,0.0,5.0,5.0,0.0
10.0,5.3,0.0,5.3,5.3,0.0
10.0,5.6,0.0,5.6,5.6,0.0
10.0,5.9,0.0,5.9,5.9,0.0
10.0,6.2,0.0,6.2,6.2,0.0
10.0,6.5,0.0,6.5,6.5,0.0
10.0,6.8,0.0,6.8,6.8,0.0
10.0,7.1,0.0,7.1,7.1,0.0
10.0,7.4,0.0,7.4,7.4,0.0
10.0,7.7,0.0,7.7,7.7,0.0
10.0,8.0,0.0,8.0,8.0,0.0
10.0,8.3,0.0,8.3,8.3,0.0
10.0,8.6,0.0,8.6,8.6,0.0
10.0,8.9,0.0,8.9,8.9,0.0
10.0,9.2,0.0,9.2,9.2,0.0
10.0,9.5,0.0,9.5,9.5,0.0
10.0,9.8,0.0,9.8,9.8,0.0
